District,Month,Total_Waste_Tons,PET_Tons,HDPE_Tons,PVC_Tons,LDPE_Tons,PP_Tons,PS_Tons
Ariyalur,2018-01,1187.94,296.98,178.19,118.79,237.59,237.59,118.79
Ariyalur,2018-02,742.97,185.74,111.44,74.3,148.59,148.59,74.3
Ariyalur,2018-03,1076.73,269.18,161.51,107.67,215.35,215.35,107.67
Ariyalur,2018-04,731.84,182.96,109.78,73.18,146.37,146.37,73.18
Ariyalur,2018-05,931.39,232.85,139.71,93.14,186.28,186.28,93.14
Ariyalur,2018-06,628.4,157.1,94.26,62.84,125.68,125.68,62.84
Ariyalur,2018-07,1067.15,266.79,160.07,106.72,213.43,213.43,106.72
Ariyalur,2018-08,1252.24,313.06,187.84,125.22,250.45,250.45,125.22
Ariyalur,2018-09,628.65,157.16,94.3,62.86,125.73,125.73,62.86
Ariyalur,2018-10,1425.44,356.36,213.82,142.54,285.09,285.09,142.54
Ariyalur,2018-11,1224.38,306.1,183.66,122.44,244.88,244.88,122.44
Ariyalur,2018-12,831.24,207.81,124.69,83.12,166.25,166.25,83.12
Ariyalur,2019-01,821.4,205.35,123.21,82.14,164.28,164.28,82.14
Ariyalur,2019-02,776.1,194.02,116.41,77.61,155.22,155.22,77.61
Ariyalur,2019-03,1036.75,259.19,155.51,103.67,207.35,207.35,103.67
Ariyalur,2019-04,1017.87,254.47,152.68,101.79,203.57,203.57,101.79
Ariyalur,2019-05,1056.76,264.19,158.51,105.68,211.35,211.35,105.68
Ariyalur,2019-06,709.55,177.39,106.43,70.95,141.91,141.91,70.95
Ariyalur,2019-07,594.94,148.74,89.24,59.49,118.99,118.99,59.49
Ariyalur,2019-08,934.1,233.52,140.11,93.41,186.82,186.82,93.41
Ariyalur,2019-09,972.29,243.07,145.84,97.23,194.46,194.46,97.23
Ariyalur,2019-10,1070.24,267.56,160.54,107.02,214.05,214.05,107.02
Ariyalur,2019-11,844.8,211.2,126.72,84.48,168.96,168.96,84.48
Ariyalur,2019-12,688.75,172.19,103.31,68.87,137.75,137.75,68.87
Ariyalur,2020-01,1282.08,320.52,192.31,128.21,256.42,256.42,128.21
Ariyalur,2020-02,1149.84,287.46,172.48,114.98,229.97,229.97,114.98
Ariyalur,2020-03,685.97,171.49,102.9,68.6,137.19,137.19,68.6
Ariyalur,2020-04,760.19,190.05,114.03,76.02,152.04,152.04,76.02
Ariyalur,2020-05,745.36,186.34,111.8,74.54,149.07,149.07,74.54
Ariyalur,2020-06,947.11,236.78,142.07,94.71,189.42,189.42,94.71
Ariyalur,2020-07,810.33,202.58,121.55,81.03,162.07,162.07,81.03
Ariyalur,2020-08,823.26,205.81,123.49,82.33,164.65,164.65,82.33
Ariyalur,2020-09,762.31,190.58,114.35,76.23,152.46,152.46,76.23
Ariyalur,2020-10,1005.69,251.42,150.85,100.57,201.14,201.14,100.57
Ariyalur,2020-11,1182.67,295.67,177.4,118.27,236.53,236.53,118.27
Ariyalur,2020-12,730.69,182.67,109.6,73.07,146.14,146.14,73.07
Ariyalur,2021-01,1264.1,316.03,189.62,126.41,252.82,252.82,126.41
Ariyalur,2021-02,711.37,177.84,106.71,71.14,142.27,142.27,71.14
Ariyalur,2021-03,1111.22,277.8,166.68,111.12,222.24,222.24,111.12
Ariyalur,2021-04,888.92,222.23,133.34,88.89,177.78,177.78,88.89
Ariyalur,2021-05,783.98,196.0,117.6,78.4,156.8,156.8,78.4
Ariyalur,2021-06,678.41,169.6,101.76,67.84,135.68,135.68,67.84
Ariyalur,2021-07,860.83,215.21,129.12,86.08,172.17,172.17,86.08
Ariyalur,2021-08,893.28,223.32,133.99,89.33,178.66,178.66,89.33
Ariyalur,2021-09,1150.79,287.7,172.62,115.08,230.16,230.16,115.08
Ariyalur,2021-10,1009.41,252.35,151.41,100.94,201.88,201.88,100.94
Ariyalur,2021-11,1226.19,306.55,183.93,122.62,245.24,245.24,122.62
Ariyalur,2021-12,735.87,183.97,110.38,73.59,147.17,147.17,73.59
Ariyalur,2022-01,962.1,240.53,144.32,96.21,192.42,192.42,96.21
Ariyalur,2022-02,887.75,221.94,133.16,88.77,177.55,177.55,88.77
Ariyalur,2022-03,976.66,244.17,146.5,97.67,195.33,195.33,97.67
Ariyalur,2022-04,687.19,171.8,103.08,68.72,137.44,137.44,68.72
