District,Month,Total_Waste_Tons,PET_Tons,HDPE_Tons,PVC_Tons,LDPE_Tons,PP_Tons,PS_Tons
Ariyalur,2018-01,1255.52,313.88,188.33,125.55,251.1,251.1,125.55
Ariyalur,2018-02,813.71,203.43,122.06,81.37,162.74,162.74,81.37
Ariyalur,2018-03,794.93,198.73,119.24,79.49,158.99,158.99,79.49
Ariyalur,2018-04,770.25,192.56,115.54,77.03,154.05,154.05,77.03
Ariyalur,2018-05,672.44,168.11,100.87,67.24,134.49,134.49,67.24
Ariyalur,2018-06,782.49,195.62,117.37,78.25,156.5,156.5,78.25
Ariyalur,2018-07,887.16,221.79,133.07,88.72,177.43,177.43,88.72
Ariyalur,2018-08,1147.2,286.8,172.08,114.72,229.44,229.44,114.72
Ariyalur,2018-09,1148.82,287.2,172.32,114.88,229.76,229.76,114.88
Ariyalur,2018-10,981.49,245.37,147.22,98.15,196.3,196.3,98.15
Ariyalur,2018-11,1180.66,295.16,177.1,118.07,236.13,236.13,118.07
Ariyalur,2018-12,1146.42,286.6,171.96,114.64,229.28,229.28,114.64
Ariyalur,2019-01,813.74,203.44,122.06,81.37,162.75,162.75,81.37
Ariyalur,2019-02,841.79,210.45,126.27,84.18,168.36,168.36,84.18
Ariyalur,2019-03,772.28,193.07,115.84,77.23,154.46,154.46,77.23
Ariyalur,2019-04,864.06,216.01,129.61,86.41,172.81,172.81,86.41
Ariyalur,2019-05,1220.31,305.08,183.05,122.03,244.06,244.06,122.03
Ariyalur,2019-06,724.05,181.01,108.61,72.4,144.81,144.81,72.4
Ariyalur,2019-07,609.75,152.44,91.46,60.97,121.95,121.95,60.97
Ariyalur,2019-08,1031.39,257.85,154.71,103.14,206.28,206.28,103.14
Ariyalur,2019-09,809.76,202.44,121.46,80.98,161.95,161.95,80.98
Ariyalur,2019-10,1044.76,261.19,156.71,104.48,208.95,208.95,104.48
Ariyalur,2019-11,1120.52,280.13,168.08,112.05,224.1,224.1,112.05
Ariyalur,2019-12,998.79,249.7,149.82,99.88,199.76,199.76,99.88
Ariyalur,2020-01,1186.34,296.59,177.95,118.63,237.27,237.27,118.63
Ariyalur,2020-02,939.59,234.9,140.94,93.96,187.92,187.92,93.96
Ariyalur,2020-03,1084.97,271.24,162.75,108.5,216.99,216.99,108.5
Ariyalur,2020-04,986.02,246.51,147.9,98.6,197.2,197.2,98.6
Ariyalur,2020-05,1262.15,315.54,189.32,126.22,252.43,252.43,126.22
Ariyalur,2020-06,996.84,249.21,149.53,99.68,199.37,199.37,99.68
Ariyalur,2020-07,930.02,232.5,139.5,93.0,186.0,186.0,93.0
Ariyalur,2020-08,1030.93,257.73,154.64,103.09,206.19,206.19,103.09
Ariyalur,2020-09,835.54,208.88,125.33,83.55,167.11,167.11,83.55
Ariyalur,2020-10,969.6,242.4,145.44,96.96,193.92,193.92,96.96
Ariyalur,2020-11,1080.41,270.1,162.06,108.04,216.08,216.08,108.04
Ariyalur,2020-12,1207.44,301.86,181.12,120.74,241.49,241.49,120.74
Ariyalur,2021-01,962.31,240.58,144.35,96.23,192.46,192.46,96.23
Ariyalur,2021-02,591.88,147.97,88.78,59.19,118.38,118.38,59.19
Ariyalur,2021-03,1282.94,320.74,192.44,128.29,256.59,256.59,128.29
Ariyalur,2021-04,1062.09,265.52,159.31,106.21,212.42,212.42,106.21
Ariyalur,2021-05,792.29,198.07,118.84,79.23,158.46,158.46,79.23
Ariyalur,2021-06,1137.68,284.42,170.65,113.77,227.54,227.54,113.77
Ariyalur,2021-07,674.95,168.74,101.24,67.49,134.99,134.99,67.49
Ariyalur,2021-08,1304.68,326.17,195.7,130.47,260.94,260.94,130.47
Ariyalur,2021-09,1249.69,312.42,187.45,124.97,249.94,249.94,124.97
Ariyalur,2021-10,1413.6,353.4,212.04,141.36,282.72,282.72,141.36
Ariyalur,2021-11,925.95,231.49,138.89,92.59,185.19,185.19,92.59
Ariyalur,2021-12,1102.94,275.74,165.44,110.29,220.59,220.59,110.29
Ariyalur,2022-01,1239.05,309.76,185.86,123.9,247.81,247.81,123.9
Ariyalur,2022-02,1159.42,289.85,173.91,115.94,231.88,231.88,115.94
Ariyalur,2022-03,1051.07,262.77,157.66,105.11,210.21,210.21,105.11
Ariyalur,2022-04,1156.96,289.24,173.54,115.7,231.39,231.39,115.7
Ariyalur,2022-05,1164.11,291.03,174.62,116.41,232.82,232.82,116.41
Ariyalur,2022-06,952.39,238.1,142.86,95.24,190.48,190.48,95.24
Ariyalur,2022-07,710.61,177.65,106.59,71.06,142.12,142.12,71.06
Ariyalur,2022-08,1060.91,265.23,159.14,106.09,212.18,212.18,106.09
Ariyalur,2022-09,1195.31,298.83,179.3,119.53,239.06,239.06,119.53
Ariyalur,2022-10,1130.92,282.73,169.64,113.09,226.18,226.18,113.09
Ariyalur,2022-11,919.95,229.99,137.99,92.0,183.99,183.99,92.0
Ariyalur,2022-12,939.74,234.93,140.96,93.97,187.95,187.95,93.97
Ariyalur,2023-01,904.59,226.15,135.69,90.46,180.92,180.92,90.46
Ariyalur,2023-02,653.55,163.39,98.03,65.36,130.71,130.71,65.36
Ariyalur,2023-03,1218.14,304.54,182.72,121.81,243.63,243.63,121.81
Ariyalur,2023-04,1064.29,266.07,159.64,106.43,212.86,212.86,106.43
Ariyalur,2023-05,1105.25,276.31,165.79,110.53,221.05,221.05,110.53
Ariyalur,2023-06,793.07,198.27,118.96,79.31,158.61,158.61,79.31
Ariyalur,2023-07,1112.78,278.2,166.92,111.28,222.56,222.56,111.28
Ariyalur,2023-08,689.66,172.41,103.45,68.97,137.93,137.93,68.97
Ariyalur,2023-09,1014.66,253.66,152.2,101.47,202.93,202.93,101.47
Ariyalur,2023-10,1409.05,352.26,211.36,140.9,281.81,281.81,140.9
Ariyalur,2023-11,1247.38,311.85,187.11,124.74,249.48,249.48,124.74
Ariyalur,2023-12,732.35,183.09,109.85,73.23,146.47,146.47,73.23
Ariyalur,2024-01,1107.32,276.83,166.1,110.73,221.46,221.46,110.73
Ariyalur,2024-02,948.82,237.2,142.32,94.88,189.76,189.76,94.88
Ariyalur,2024-03,897.59,224.4,134.64,89.76,179.52,179.52,89.76
Ariyalur,2024-04,728.32,182.08,109.25,72.83,145.66,145.66,72.83
Ariyalur,2024-05,854.04,213.51,128.11,85.4,170.81,170.81,85.4
Ariyalur,2024-06,754.49,188.62,113.17,75.45,150.9,150.9,75.45
Ariyalur,2024-07,631.56,157.89,94.73,63.16,126.31,126.31,63.16
Ariyalur,2024-08,1333.61,333.4,200.04,133.36,266.72,266.72,133.36
Ariyalur,2024-09,1308.78,327.19,196.32,130.88,261.76,261.76,130.88
Ariyalur,2024-10,996.27,249.07,149.44,99.63,199.25,199.25,99.63
Ariyalur,2024-11,898.08,224.52,134.71,89.81,179.62,179.62,89.81
Ariyalur,2024-12,1159.83,289.96,173.97,115.98,231.97,231.97,115.98
Chengalpattu,2018-01,1765.73,441.43,264.86,176.57,353.15,353.15,176.57
Chengalpattu,2018-02,1134.64,283.66,170.2,113.46,226.93,226.93,113.46
Chengalpattu,2018-03,1319.57,329.89,197.94,131.96,263.91,263.91,131.96
Chengalpattu,2018-04,1808.7,452.18,271.31,180.87,361.74,361.74,180.87
Chengalpattu,2018-05,1787.85,446.96,268.18,178.79,357.57,357.57,178.79
Chengalpattu,2018-06,939.16,234.79,140.87,93.92,187.83,187.83,93.92
Chengalpattu,2018-07,1294.2,323.55,194.13,129.42,258.84,258.84,129.42
Chengalpattu,2018-08,1792.21,448.05,268.83,179.22,358.44,358.44,179.22
Chengalpattu,2018-09,1435.9,358.97,215.38,143.59,287.18,287.18,143.59
Chengalpattu,2018-10,1652.69,413.17,247.9,165.27,330.54,330.54,165.27
Chengalpattu,2018-11,2096.62,524.16,314.49,209.66,419.32,419.32,209.66
Chengalpattu,2018-12,1767.97,441.99,265.19,176.8,353.59,353.59,176.8
Chengalpattu,2019-01,1608.18,402.05,241.23,160.82,321.64,321.64,160.82
Chengalpattu,2019-02,1802.06,450.51,270.31,180.21,360.41,360.41,180.21
Chengalpattu,2019-03,1078.46,269.61,161.77,107.85,215.69,215.69,107.85
Chengalpattu,2019-04,1814.24,453.56,272.14,181.42,362.85,362.85,181.42
Chengalpattu,2019-05,1855.25,463.81,278.29,185.52,371.05,371.05,185.52
Chengalpattu,2019-06,1420.35,355.09,213.05,142.03,284.07,284.07,142.03
Chengalpattu,2019-07,1095.55,273.89,164.33,109.55,219.11,219.11,109.55
Chengalpattu,2019-08,1888.38,472.1,283.26,188.84,377.68,377.68,188.84
Chengalpattu,2019-09,1471.99,368.0,220.8,147.2,294.4,294.4,147.2
Chengalpattu,2019-10,1280.21,320.05,192.03,128.02,256.04,256.04,128.02
Chengalpattu,2019-11,1518.14,379.53,227.72,151.81,303.63,303.63,151.81
Chengalpattu,2019-12,1620.76,405.19,243.11,162.08,324.15,324.15,162.08
Chengalpattu,2020-01,1121.69,280.42,168.25,112.17,224.34,224.34,112.17
Chengalpattu,2020-02,1651.48,412.87,247.72,165.15,330.3,330.3,165.15
Chengalpattu,2020-03,1691.23,422.81,253.68,169.12,338.25,338.25,169.12
Chengalpattu,2020-04,2069.76,517.44,310.46,206.98,413.95,413.95,206.98
Chengalpattu,2020-05,2009.19,502.3,301.38,200.92,401.84,401.84,200.92
Chengalpattu,2020-06,1428.28,357.07,214.24,142.83,285.66,285.66,142.83
Chengalpattu,2020-07,1274.5,318.63,191.18,127.45,254.9,254.9,127.45
Chengalpattu,2020-08,1527.8,381.95,229.17,152.78,305.56,305.56,152.78
Chengalpattu,2020-09,1481.02,370.26,222.15,148.1,296.2,296.2,148.1
Chengalpattu,2020-10,2319.38,579.85,347.91,231.94,463.88,463.88,231.94
Chengalpattu,2020-11,1708.89,427.22,256.33,170.89,341.78,341.78,170.89
Chengalpattu,2020-12,1508.32,377.08,226.25,150.83,301.66,301.66,150.83
Chengalpattu,2021-01,1939.62,484.91,290.94,193.96,387.92,387.92,193.96
Chengalpattu,2021-02,1950.72,487.68,292.61,195.07,390.14,390.14,195.07
Chengalpattu,2021-03,1384.02,346.01,207.6,138.4,276.8,276.8,138.4
Chengalpattu,2021-04,1427.78,356.94,214.17,142.78,285.56,285.56,142.78
Chengalpattu,2021-05,1298.17,324.54,194.73,129.82,259.63,259.63,129.82
Chengalpattu,2021-06,1017.61,254.4,152.64,101.76,203.52,203.52,101.76
Chengalpattu,2021-07,1395.17,348.79,209.28,139.52,279.03,279.03,139.52
Chengalpattu,2021-08,1444.32,361.08,216.65,144.43,288.86,288.86,144.43
Chengalpattu,2021-09,1342.5,335.63,201.38,134.25,268.5,268.5,134.25
Chengalpattu,2021-10,1819.2,454.8,272.88,181.92,363.84,363.84,181.92
Chengalpattu,2021-11,2365.58,591.39,354.84,236.56,473.12,473.12,236.56
Chengalpattu,2021-12,1451.96,362.99,217.79,145.2,290.39,290.39,145.2
Chengalpattu,2022-01,2021.63,505.41,303.24,202.16,404.33,404.33,202.16
Chengalpattu,2022-02,1453.14,363.28,217.97,145.31,290.63,290.63,145.31
Chengalpattu,2022-03,1510.68,377.67,226.6,151.07,302.14,302.14,151.07
